top - 16:53:30 up 26 min,  1 user,  load average: 22,32, 12,47, 5,66
Tareas: 387 total,   3 ejecutar,  384 hibernar,    0 detener,    0 zombie
%Cpu(s): 62,7 usuario, 37,3 sist,  0,0 adecuado,  0,0 inact,  0,0 en espera,  0,0 hardw int,  0,0 softw int,  0,0 robar tiempo
MiB Mem :  31971,6 total,  20311,7 libre,   6414,9 usado,   5244,9 búfer/caché
MiB Intercambio:   2048,0 total,   2048,0 libre,      0,0 usado.  24984,1 dispon Mem 

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM     HORA+ ORDEN
  10664 diego     20   0 1354752 208560  24620 R 673,3   0,6  22:42.59 python3
   1897 diego     20   0  376612  16468  14512 S   0,0   0,1   0:00.01 gsd-datetime
   1900 diego     20   0  314972   8088   7084 S   0,0   0,0   0:00.06 gsd-housekeepin
   1902 diego     20   0  344844  25236  18752 S   0,0   0,1   0:00.09 gsd-keyboard
   1906 diego     20   0  900188  27564  20612 S   0,0   0,1   0:00.10 gsd-media-keys
   1908 diego     20   0  418936  25452  19056 S   0,0   0,1   0:00.11 gsd-power
   1911 diego     20   0  251252  11456   9972 S   0,0   0,0   0:00.01 gsd-print-notif
   1913 diego     20   0  459948   6312   5700 S   0,0   0,0   0:00.01 gsd-rfkill
   1914 diego     20   0  238356   5944   5420 S   0,0   0,0   0:00.00 gsd-screensaver
   1915 diego     20   0  467644  10676   9416 S   0,0   0,0   0:00.01 gsd-sharing
   1918 diego     20   0  318448   8772   7932 S   0,0   0,0   0:00.00 gsd-smartcard
   1920 diego     20   0  322356   9304   8292 S   0,0   0,0   0:00.01 gsd-sound
   1925 diego     20   0  647536  57684  43276 S   0,0   0,2   0:00.16 evolution-alarm
   1927 diego     20   0  387964   7580   6892 S   0,0   0,0   0:00.01 gsd-usb-protect
   1929 diego     20   0  270568  24644  18220 S   0,0   0,1   0:00.08 gsd-wacom
   1933 diego     20   0  317096   8516   7608 S   0,0   0,0   0:00.01 gsd-wwan
   1934 diego     20   0  231812   6356   4744 S   0,0   0,0   0:00.00 gsd-disk-utilit
   1935 diego     20   0  346012  26552  19600 S   0,0   0,1   0:00.11 gsd-xsettings
   1965 diego     20   0  588756  25256  21820 S   0,0   0,1   0:00.08 anydesk
   1976 diego     20   0  165628   7188   6576 S   0,0   0,0   0:00.00 ibus-engine-sim
   2020 diego     20   0  345028  15076  13180 S   0,0   0,0   0:00.00 gsd-printer
